ReturnExpr/Constant:del,27
GenericList/ParameterType:add,9
Left/Binary:del,3
ArrayAccess/Cast:del,1
ParenExpr/Unary:mv,3
DeclList/InitExpr:mv,4
Compound/ExprStatement:mv,670
Left/ArrayAccess:mv,7
CondExpr/Binary:mv,1
Label/ExprStatement:mv,57
Assignment/ParenExpr:add,2
Unary/ParenExpr:mv,3
Ident/GenericString:upd,1216
Compound/For:add,4
Binary/Binary:mv,25
Binary/Unary:del,3
Label/GenericString:upd,18
InitExpr/Constant:upd,8
Case/If:del,3
Label/If:mv,1
Unary/GenericString:upd,2
RecordAccess/GenericString:mv,4
InitExpr/RecordPtAccess:add,1
Binary/ParenExpr:mv,11
Case/Ident:mv,12
InitList/InitExpr:add,1
FunCall/GenericList:add,3
Unary/Constant:del,5
Assignment/Constant:add,1
Cast/RecordPtAccess:mv,3
Cast/Ident:add,4
If/Break:add,6
DefineExpr/ParenExpr:add,4
Compound/Label:add,97
Left/Binary:mv,5
Assignment/FunCall:mv,151
DefineExpr/Binary:mv,3
Left/RecordPtAccess:add,11
Label/For:mv,1
Sequence/Assignment:mv,1
InitExpr/RecordPtAccess:mv,9
RecordAccess/RecordPtAccess:add,8
RecordPtAccess/GenericString:upd,76
Assignment/Constant:del,78
If/RecordPtAccess:mv,41
ArrayAccess/Binary:add,1
Some/FunCall:del,68
Assignment/Cast:mv,1
DefineDoWhileZero/Compound:mv,1
Unary/FunCall:mv,8
Left/Unary:add,3
RecordPtAccess/ParenExpr:del,11
ReturnExpr/Ident:mv,14
Left/RecordPtAccess:del,5
If/Return:del,4
Unary/ParenExpr:del,53
Compound/Case:del,6
Assignment/RecordPtAccess:add,19
GenericList/Left:mv,492
Left/Cast:del,40
If/Compound:mv,79
Binary/Unary:mv,5
If/Return:add,2
Unary/Constant:mv,4
GenericList/Left:del,165
DeclList/InitExpr:add,5
InitList/InitDesignators:add,35
Label/ExprStatement:add,14
Unary/RecordAccess:add,3
Case/ReturnExpr:del,1
Binary/Cast:del,2
If/ParenExpr:del,8
Assignment/Ident:del,8
FunCall/Ident:add,3
Assignment/RecordAccess:del,19
Program/Declaration:del,105
Binary/ArrayAccess:mv,12
Binary/RecordPtAccess:add,46
While/Compound:del,1
ReturnExpr/Binary:mv,2
Program/Declaration:add,196
RecordAccess/RecordPtAccess:mv,2
ExprStatement/Some:mv,34
Left/Cast:add,5
If/Binary:mv,91
If/Unary:mv,18
Program/Declaration:mv,8
While/Binary:mv,3
Compound/IfdefDirective:del,17
RecordPtAccess/Ident:mv,70
NotParsedCorrectly/GenericString:upd,36
If/Break:del,1
For/ExprStatement:add,3
Left/FunCall:mv,11
Label/GenericString:mv,2
MacroIteration/Compound:del,1
DefineExpr/ParenExpr:del,15
Assignment/GenericString:mv,6
Definition/Compound:mv,11
ReturnExpr/Constant:mv,26
Left/RecordAccess:add,4
If/Unary:add,64
If/Ident:del,9
Label/ExprStatement:del,2
Left/ArrayAccess:del,3
Assignment/GenericString:del,2
Assignment/FunCall:add,14
