,commit,operationsSum,hunks,fileN,type
3903,82554c2ffbb475609d381f0e258e247a96aad5b9,2.0,1.0,1.0,2.0
3907,e996f9de8534522a4ab0472e19f214cf3c7ca863,4.0,1.0,1.0,2.0
3908,e1cc3112b22715f91a07680ea315fd92521a5c2e,3.0,1.0,1.0,2.0
3911,b101426aae371b91ad10c7553e54725cc5844e4a,7.0,1.0,1.0,2.0
3912,becdbc592580f76df58fdae14544f5db36ae05b4,1.0,1.0,1.0,2.0
3914,9a32bb39d6a48d435135695763e5e4a06652eeda,4.0,1.0,1.0,2.0
3916,24f3c59e1781435835083eab587399c8bdc235b4,1.0,1.0,1.0,2.0
3919,86f2d7dd72e1ff4656107e42a12c999a7b9c26d4,3.0,1.0,1.0,2.0
3920,d91e892825ae6f0ed4f8b07ae5d348eff86ab2ea,2.0,1.0,1.0,2.0
3925,5a2815f03c0fd5a091c95af93b7f1a17a971ac20,13.0,1.0,1.0,2.0
3926,c622a3c21ede892e370b56e1ceb9eb28f8bbda6b,3.0,1.0,1.0,2.0
3927,37e080787925a972b1eb866d2cd2d75badfb7a24,1.0,1.0,1.0,2.0
3928,e6938ea4d56cca1dc7984428d3af79b27ce1db51,3.0,1.0,1.0,2.0
3936,238b1eaa59e6a8e2993af0db9ec2255bfa53927b,1.0,1.0,1.0,2.0
3949,33e1afc3d82697599ccc8dc8f2fa44ffff5ae329,8.0,1.0,1.0,2.0
3950,86b7987dd7a8acbaa54a446a73e2431da88b3ca1,1.0,1.0,1.0,2.0
3952,849464d1ba97a13b388fee9a69fbbeee175b349c,3.0,1.0,1.0,2.0
3958,07d86ca93db7e5cdf4743564d98292042ec21af7,1.0,1.0,1.0,2.0
3960,8fb78ad6e55d8456de9202279b8463f26b012088,2.0,1.0,1.0,2.0
3961,816764859a5347315cb2f1578cf0252ee129c128,1.0,1.0,1.0,2.0
3969,a7b19448ddbdc34b2b8fedc048ba154ca798667b,2.0,1.0,1.0,2.0
3971,04bc936591469433b6ad3b16b04e07cb1b86690a,1.0,1.0,1.0,2.0
3972,4f463855c7d5a0ed0faa62497f3006336e74ee16,1.0,1.0,1.0,2.0
3978,0d07fc1b027403d05b223c7c99ace996de8cad7b,5.0,1.0,1.0,2.0
3979,4833d7f0a86fd9a44f98bedf0c639e1da070d3a0,1.0,1.0,1.0,2.0
3980,29237756477d5e777e39257d94af449fc66026c2,1.0,1.0,1.0,2.0
3981,28ad960e7a4d102202b3e136404699243259cac2,1.0,1.0,1.0,2.0
3984,8c9247a6b5e57d04e55d94ecbfd9e9d61c2a01e1,1.0,1.0,1.0,2.0
3991,94713bab649736177a1c33a39b7bb33cbd5af3a5,10.0,1.0,1.0,2.0
3992,5ecf85f082e2e0f4bfd967b9c7ae9d0b89552153,1.0,1.0,1.0,2.0
3995,0a9858689017544743708b332c6b7a54df10b6fe,3.0,1.0,1.0,2.0
3997,8ecc1bad4c9b485ceb47182d282980d0b0fe20ac,2.0,1.0,1.0,2.0
3998,94e16e9c59312247de199b5f9bf141d1bd946dd0,3.0,1.0,1.0,2.0
4000,98e1e0f07c3f1820b8ac424569ee9e9916d3665b,1.0,1.0,1.0,2.0
4001,cb35484231e0b7edf23e192867e5fba955e584cb,6.0,1.0,1.0,2.0
4002,6c0f36954b9bcfedb87d785aa453132146645abc,2.0,1.0,1.0,2.0
4003,1105a13bb8ad29cf83d46989ee462d196038be87,5.0,1.0,1.0,2.0
4004,cab9a128dad0fa0c8400a03d9375c781dda43982,3.0,1.0,1.0,2.0
4006,20ff1418d3936f76df24f5694c6b5eb9179a565f,1.0,1.0,1.0,2.0
4008,64417a398973d964139306c0b152536e468bf77c,2.0,1.0,1.0,2.0
4009,e9419669faacf90e7a4e648d38f61c067a47c0ff,1.0,1.0,1.0,2.0
4014,da82ee99eef9817416ea9b8a23973da062d5c8fe,5.0,1.0,1.0,2.0
4015,369620a09bc5ab867342d51f1820c66b00d78a2c,2.0,1.0,1.0,2.0
4017,34fd5dad46fc494c6ed3b174b2c991ea9961ebe9,1.0,1.0,1.0,2.0
4023,43d24e48940d04f587818fadc5305b109f5cb8cf,2.0,1.0,1.0,2.0
4026,5a406b0cdfa948c7d949b270374737b17ee1679f,1.0,1.0,1.0,2.0
4027,e6889b310eb997afe698fac9762203e11577af1e,40.0,1.0,1.0,2.0
4028,53e20f2eb161fbe9eea28b54dccc870cec94eca2,6.0,1.0,1.0,2.0
4029,deb3d7fff0b7c21c5a80b2fdfb93d7fb1abcf21f,1.0,1.0,1.0,2.0
4030,0b2d70764bb39242dcc49c0ebd10fcb8258ce5fa,8.0,1.0,1.0,2.0
4031,303dfbf5727410bfa3e82d4e2554813f1e8f2de6,2.0,1.0,1.0,2.0
4034,5a6b2b36a8249ec9dfb2a714acadad86d9cc0aee,4.0,1.0,1.0,2.0
4035,5d0a654974c5cac03ce7c577bcfd6bca0f2b2c5a,106.0,1.0,1.0,2.0
4039,f49a59c4471d81a233e09dda45187cc44fda009d,2.0,1.0,1.0,2.0
4040,906836f6e3ebed0e6a51b8f3aff0a5b2885c9ca9,2.0,1.0,1.0,2.0
4042,a3d81a379b0933f3a2e9ceba6cb770ceb4865c18,9.0,1.0,1.0,2.0
4050,eddc633a3abcffbbe2fb1eb460670f0c63b11211,4.0,1.0,1.0,2.0
4052,8e56aed0b0579b667489bcb1d94c223726f0eaa1,3.0,1.0,1.0,2.0
4053,5d57eeb52ae71a03c8e083a9b0a818a9b63ca440,10.0,1.0,1.0,2.0
4058,7f8b183059edc6c74654301431d520a91539e45f,4.0,1.0,1.0,2.0
4059,efbd50d2f62fc1f69a3dcd153e63ba28cc8eb27f,1.0,1.0,1.0,2.0
4065,19be9e9a7ac7e6050eab426283d2a87593cf6e82,6.0,1.0,1.0,2.0
4066,8558ace8b7cf629b7d499e00462e4a8bf212e0e4,6.0,1.0,1.0,2.0
4071,4c08202547111e503eca4031ae9443159a79e2b2,1.0,1.0,1.0,2.0
4073,c36aeba8c072d20a08e8546483494ab0f6458963,1.0,1.0,1.0,2.0
4075,1865e4ea0b2d9889e5e1f93d5ca69194857cc9f0,2.0,1.0,1.0,2.0
4082,662845057f2d063461c88a97b737ec7f66daece0,1.0,1.0,1.0,2.0
4092,09ae6345721afbb7cf3e0920209b140cbe7bff0d,1.0,1.0,1.0,2.0
