e7f2aa345581b5b500b44a4114bdda642938eb2e:0,"{'Compound/ExprStatement:mv': 5, 'InitList/InitFieldOld:del': 8, 'Ident/GenericString:upd': 2, 'ParenExpr/Assignment:mv': 1, 'Some/Assignment:mv': 1, 'If/ExprStatement:mv': 1, 'Binary/Ident:add': 1, 'InitDesignators/InitExpr:mv': 7, 'InitList/InitDesignators:add': 8, 'Left/Constant:upd': 10, 'Compound/Define:del': 1, 'InitFieldOld/InitExpr:mv': 7, 'Compound/ExprStatement:add': 1, 'DeclList/InitExpr:del': 1, 'Compound/If:del': 2, 'Binary/ParenExpr:del': 1, 'InitExpr/SizeOfType:mv': 2}"
d788d8056fd913defa48bd94f18dc53de98cd7a6:1,{'Compound/DeclList:del': 1}
7dc576158d7e5cdff3349f78598fdb4080536342:6,"{'Assignment/Constant:del': 1, 'Left/Ident:add': 8, 'Left/Constant:del': 8, 'Assignment/Ident:add': 1}"
6b63e3015a69dd8aa5534e23af9f132a021da02e:0,{'Ident/GenericString:upd': 2}
fc3fbc45098e5aff59f06962dee79aba2e11430d:0,{'NotParsedCorrectly/GenericString:add': 8}
67454b6602c3519d15193630e6765a5f02f39160:0,{'Compound/If:del': 1}
e2f11c58ae49d57b0e634685dd944c1771ba38c0:0,"{'Compound/ExprStatement:mv': 4, 'Goto/GenericString:upd': 2}"
7dc576158d7e5cdff3349f78598fdb4080536342:5,"{'Assignment/Constant:del': 2, 'Assignment/Ident:add': 2}"
3898115896c7f18cb7009de691c43cb3d92bb82a:0,"{'If/ReturnExpr:mv': 1, 'If/Compound:add': 1, 'Compound/ReturnExpr:mv': 1}"
50a45b170c044a27075535b36beea7b18ada98ce:0,{'Ident/GenericString:upd': 2}
50a45b170c044a27075535b36beea7b18ada98ce:1,{'Definition/GenericString:upd': 2}
50a45b170c044a27075535b36beea7b18ada98ce:2,{'DeclList/GenericString:upd': 2}
58889788fc806e8b63e7f159db659937decf61e8:1,{'Ident/GenericString:upd': 16}
19c551482ad620336afb724bb6cfcf1720fa545c:1,"{'Ident/GenericString:mv': 2, 'Left/Ident:add': 1, 'Left/Cast:del': 1}"
05f2b3912323b4130dbf6d5091601d9ca3aaf119:0,"{'DeclList/GenericString:upd': 2, 'Some/Postfix:mv': 1, 'Binary/RecordPtAccess:mv': 1, 'Assignment/Ident:add': 1, 'Compound/ExprStatement:add': 3, 'Some/Sequence:del': 1, 'Assignment/RecordPtAccess:mv': 2, 'Sequence/Postfix:mv': 1, 'Left/RecordPtAccess:mv': 1, 'Binary/Ident:add': 1}"
c6b97bcf8e3ee6643a7f90a54d1ef3f9e12ec245:1,"{'Left/Constant:upd': 2, 'Compound/Label:add': 1, 'Label/GenericString:upd': 2, 'Goto/GenericString:upd': 4, 'Compound/ExprStatement:add': 1}"
58889788fc806e8b63e7f159db659937decf61e8:2,{'DeclList/GenericString:upd': 2}
7671986839f9207f8d76e8ef92b2d3f263a794cc:0,{'Compound/ExprStatement:add': 1}
1e358f94c00570f88a590cabe718daf835440cc9:0,{'DeclList/InitExpr:add': 1}
8ecc1bad4c9b485ceb47182d282980d0b0fe20ac:0,{'Left/Constant:upd': 2}
e4bbf2f541501dcde47ce687ffc6d238bd2f7813:11,{'NotParsedCorrectly/GenericString:add': 2}
f1f74aa2cf7f109b2eaf3502b8bd13bf40bf6633:0,{'Include/GenericString:upd': 2}
