1,595
2,504
3,422
4,314
6,288
5,184
8,142
7,139
10,112
9,109
12,79
13,64
11,59
14,55
16,50
20,48
15,48
18,45
17,43
21,33
19,32
22,31
24,30
26,29
25,23
23,23
37,21
28,20
39,18
27,18
30,18
31,16
38,15
36,14
35,13
33,13
41,13
32,12
44,12
43,11
50,11
34,10
52,9
29,9
47,8
40,8
59,7
46,7
48,7
54,6
45,6
58,6
53,6
51,6
42,5
57,5
89,5
56,4
79,4
55,4
103,4
68,4
82,4
98,4
64,3
78,3
142,3
80,3
86,3
108,3
109,3
229,3
63,3
65,3
113,3
69,3
49,3
75,3
77,3
119,3
85,3
151,2
141,2
100,2
209,2
122,2
74,2
92,2
94,2
90,2
230,2
70,2
95,2
60,2
93,2
83,2
81,2
73,2
67,2
61,2
72,1
76,1
66,1
62,1
551,1
592,1
102,1
143,1
71,1
87,1
91,1
101,1
105,1
121,1
125,1
127,1
135,1
161,1
477,1
167,1
217,1
219,1
221,1
225,1
231,1
251,1
261,1
397,1
1095,1
450,1
112,1
182,1
114,1
118,1
120,1
124,1
128,1
130,1
146,1
156,1
178,1
196,1
402,1
210,1
220,1
232,1
238,1
242,1
256,1
278,1
290,1
372,1
2021,1
