,commit,operationsSum,hunks,fileN,type
2,efb2d3be53e4343ab6495729b3ec9ffb95261035,3.0,1.0,1.0,1.0
4,37e080787925a972b1eb866d2cd2d75badfb7a24,1.0,1.0,1.0,1.0
6,6950a235b86cf4e73d2b8e5476e7d0eb8f61af63,2.0,1.0,1.0,1.0
8,214f1aff3f33bc86cc85ece4080d9518af688fb1,6.0,1.0,1.0,1.0
9,084861124d00b046cb4159b0158e1b74626b8257,6.0,1.0,1.0,1.0
10,fc8abe02e5616817735e8a8de2ab37f6ce5e4f46,8.0,1.0,1.0,1.0
12,da6801e38b7fba28fbdc0ceae6681d5a261a42a6,6.0,1.0,1.0,1.0
15,201c7b72f0bf38d7f31fd229a01de035d0f10cd1,1.0,1.0,1.0,1.0
17,bca7f5f71389547489fffe6c757eaff8659bcd16,8.0,1.0,1.0,1.0
22,58678a77029bc1f78f80f6f93da3d302d587f951,1.0,1.0,1.0,1.0
26,b2bbb642ac2829006a81ae164e2f06ebc22f81dd,24.0,1.0,1.0,1.0
29,ef0657c49e0f93dcebc9b4719e4fe0b478411f60,2.0,1.0,1.0,1.0
32,777fd18a71866f5057b27535c47c817973293498,5.0,1.0,1.0,1.0
36,c38ce3548e0c5df27b63f9b591f11a9c34416576,4.0,1.0,1.0,1.0
38,6eee8972cc1799d3dde3f1e699abf286ed3adbaf,1.0,1.0,1.0,1.0
39,e6c5abf2542f1a91d31ae536707c00cf0ceaf376,3.0,1.0,1.0,1.0
41,057a4a55e703038d22bc9f2bcf8b02dc35850e16,3.0,1.0,1.0,1.0
42,3227c860b6c96f97671e9373c14a280429956928,2.0,1.0,1.0,1.0
43,7d88950426da812a6ab93ee1bba821f7f0ec1766,21.0,1.0,1.0,1.0
45,2198a64a7487aba036f71998ade8a6528070d32c,4.0,1.0,1.0,1.0
48,187d67858bafd16334d150b0fa7cff1f5814c6fb,14.0,1.0,1.0,1.0
55,5cccfd9b3a9ca06b6245ea2c4af052b7db0105a3,4.0,1.0,1.0,1.0
56,3a7946eed85a1031120d2c946d6e8e8520b32827,5.0,1.0,1.0,1.0
58,1862eec4fe45e2d33fb166af3f8e601fc2233d76,4.0,1.0,1.0,1.0
64,7b5c253c88ae5f6770e426b1d3f135be75483200,2.0,1.0,1.0,1.0
65,eb8ad609912cd468b23467892a1c80ff2d610716,7.0,1.0,1.0,1.0
66,093a44e71aa29157fb1611b00507d67c954099d6,1.0,1.0,1.0,1.0
67,93e11eb1b745ee8dbd4f98f24b542d496c8f1e03,1.0,1.0,1.0,1.0
69,dad4babe419ef2f3e14447a650ce1f760a6ee9e0,5.0,1.0,1.0,1.0
70,93d8db803a6477d3b075b971b10c2bb3ef164a44,1.0,1.0,1.0,1.0
73,30cc9bd64c67c9b1f70a2779302da2ac05335d47,32.0,1.0,1.0,1.0
74,202a32f0463ebc58833cc3e75c069996437ba526,1.0,1.0,1.0,1.0
75,5a8dbf03ddf6dfe465b9f062e5b969f9606643f5,5.0,1.0,1.0,1.0
78,dc6ed26dc32f2365647e9a156beafe3dcbde612e,4.0,1.0,1.0,1.0
79,a9507ca3fb90987db5c6cc385885782cb05d4967,18.0,1.0,1.0,1.0
83,7e724da64491b20257d46f100bcc6d6214c37b70,4.0,1.0,1.0,1.0
84,f9ed89e17ee7d1f5f25615bb0080b9a3ff1bb5f0,7.0,1.0,1.0,1.0
85,70c1092207fb6372a879e46500c213e4f61c4f56,1.0,1.0,1.0,1.0
86,0fdd07f77fd9cc6a7d49076793daef06ea5d8f13,2.0,1.0,1.0,1.0
88,211174ea8dca4502e20008de7ff2ad389db023a5,3.0,1.0,1.0,1.0
89,0e6f989ba83e6fa64e979d3488f01670b8be7959,2.0,1.0,1.0,1.0
91,63f2f417526fc54191f2b813f72dc1d5322bede8,5.0,1.0,1.0,1.0
92,c018b7af5e9e59c19df39a86e3da58e6293d922b,2.0,1.0,1.0,1.0
93,a316399635e334c878a88c90044c1e45f57129a4,6.0,1.0,1.0,1.0
94,1c17a353c5a8346b1ce128c60ffb862d156f7e7e,3.0,1.0,1.0,1.0
98,447ed7360037b6e38c0206ddcbd04a256ec94099,1.0,1.0,1.0,1.0
99,7b0f000b2fdc18662e9070765a0f63c93ea0ef31,3.0,1.0,1.0,1.0
100,ca7ce82a280a65c377c24c95c29b1dec6e80b428,4.0,1.0,1.0,1.0
102,ccb36da19b36a77dce926efeb76de0ab57c00ad5,14.0,1.0,1.0,1.0
103,514dd88df707a1094e937c20d5a0b1ec619e1f96,1.0,1.0,1.0,1.0
104,27d751bfa41bdc022d1357479ff67c6902c02c8c,1.0,1.0,1.0,1.0
106,ed8d4a84a39774e2b030f20d684a6f164b61056f,1.0,1.0,1.0,1.0
109,e5cd6cee46764467e6cb14841ff59cd2e2573502,2.0,1.0,1.0,1.0
112,bf86546760502b24e16fad75e3affde61efb5e2c,14.0,1.0,1.0,1.0
113,1b4fc0e249d61916b8a525b0e7b3c028232457c9,14.0,1.0,1.0,1.0
117,cb2e1a234c163d429712c0fa8eef8ab01499b738,1.0,1.0,1.0,1.0
