InitDesignators/DesignatorField:upd,4
Left/RecordPtAccess:mv,499
If/IfToken:add,87
Assignment/GenericString:upd,26
Compound/DeclList:del,974
RecordPtAccess/FunCall:mv,34
Default/Goto:add,1
Cast/Ident:del,4
Left/CondExpr:mv,3
RecordPtAccess/RecordAccess:add,45
Binary/Constant:upd,38
ParenExpr/Unary:del,1
Label/Switch:del,1
Include/GenericString:upd,6
Define/DefineDoWhileZero:del,5
Assignment/Cast:del,429
MacroDecl/GenericString:upd,252
Compound/DeclList:mv,304
Assignment/SizeOfExpr:mv,3
Unary/Ident:mv,40
Cast/RecordAccess:mv,12
RecordAccess/ArrayAccess:mv,29
InitExpr/FunCall:mv,101
Assignment/Binary:mv,219
Binary/GenericString:add,122
InitExpr/RecordAccess:mv,2
FunCall/Ident:del,541
ArrayAccess/ArrayAccess:add,4
Definition/ParamList:add,8
DefineExpr/FunCall:mv,3
Some/Sequence:del,6
Unary/GenericString:mv,148
ParenExpr/SizeOfExpr:mv,1
DoWhile/Binary:mv,2
Label/Label:mv,6
Program/Definition:add,31
Binary/RecordPtAccess:mv,390
Label/GenericString:del,4
ParenExpr/FunCall:mv,11
CondExpr/RecordPtAccess:mv,2
If/Binary:del,890
Assignment/ParenExpr:mv,12
ReturnExpr/Cast:del,10
CondExpr/Unary:del,2
ParenExpr/FunCall:add,7
Sequence/Ident:mv,2
While/Unary:add,1
RecordAccess/ArrayAccess:del,2
Left/SizeOfType:del,11
Binary/GenericString:upd,404
GenericList/ParameterType:mv,84
MacroIteration/GenericString:upd,142
DefineExpr/FunCall:add,242
FunCall/GenericList:mv,1150
Some/FunCall:mv,1231
Program/Declaration:del,1251
Define/DefineEmpty:del,1
InitExpr/CondExpr:mv,1
If/If:add,9
ParameterType/GenericString:mv,2
Program/NotParsedCorrectly:del,1364
Binary/Cast:mv,2
Compound/If:add,1445
CondExpr/ParenExpr:mv,4
CondExpr/Binary:add,3
Binary/ArrayAccess:add,2
CondExpr/Ident:add,2
Compound/Label:mv,72
Program/CppTop:mv,326
ArrayAccess/ParenExpr:del,8
DefineExpr/ParenExpr:mv,3
Some/Infix:add,5
If/Goto:del,153
Unary/RecordPtAccess:del,36
Binary/Binary:del,79
InitExpr/Ident:add,214
SizeOfExpr/Ident:del,1
DefineFunc/GenericString:upd,4
InitExpr/Constant:del,108
ParenExpr/ParenExpr:mv,4
If/Continue:add,9
Program/IfdefTop:del,135
Left/ParenExpr:add,5
CondExpr/Binary:del,4
Some/Assignment:del,118
Compound/ReturnExpr:del,369
FunCall/RecordAccess:add,527
ReturnExpr/Unary:mv,145
While/Unary:mv,1
For/Compound:del,67
Compound/MacroStmt:del,1
RecordPtAccess/Ident:add,39
InitExpr/Cast:del,130
CondExpr/FunCall:del,3
Compound/Label:del,99
Binary/SizeOfType:add,2
Switch/RecordPtAccess:add,2
ReturnExpr/Binary:del,10
DefineExpr/Ident:del,1
While/Assignment:mv,2
Label/ReturnExpr:add,1
Switch/RecordPtAccess:del,1
Binary/Constant:add,12
Unary/FunCall:del,1
Cast/Unary:mv,93
ArrayAccess/Ident:add,7
MacroDecl/GenericList:mv,4
InitExpr/Unary:add,79
MacroDeclInit/InitList:mv,241
If/RecordPtAccess:del,6
RecordPtAccess/RecordPtAccess:add,351
Binary/SizeOfExpr:mv,35
Left/Binary:del,406
Default/If:del,1
ParenExpr/Unary:mv,114
Definition/DotsParameter:add,3
SizeOfExpr/Unary:add,1
Left/ParenExpr:mv,17
CondExpr/Binary:mv,2
InitExpr/Unary:del,76
MacroIteration/If:del,1
Compound/Case:del,11
MacroIteration/If:mv,1
If/FunCall:add,161
Label/GenericString:upd,94
Case/If:del,40
InitExpr/Binary:del,90
DeclList/InitList:mv,241
InitExpr/ArrayAccess:del,6
RecordAccess/GenericString:mv,16
Left/Postfix:mv,3
RecordPtAccess/FunCall:del,5
Case/Ident:mv,18
Cast/Postfix:mv,1
Definition/ParamList:mv,62
Left/SizeOfType:add,1
Cast/Ident:add,5
Assignment/Unary:del,172
Left/Binary:mv,158
Cast/FunCall:mv,164
DoWhile/Unary:add,1
RecordPtAccess/ParenExpr:add,7
ParenExpr/ArrayAccess:del,2
MacroIteration/ExprStatement:mv,8
Compound/Compound:del,1
Left/RecordPtAccess:add,48
Label/For:mv,1
Sequence/Assignment:mv,21
Define/DefineStmt:del,2
MacroIteration/Left:mv,198
DefineDoWhileZero/Compound:mv,1
Case/ReturnExpr:add,35
FullType/StructUnionName:upd,14
Left/RecordPtAccess:del,455
If/Return:del,17
Unary/ParenExpr:del,444
Compound/Case:mv,32
ArrayAccess/Binary:del,1
Left/Cast:del,201
Binary/Unary:mv,75
Program/Declaration:mv,184
Unary/Constant:mv,14
CondExpr/Unary:add,2
DeclList/InitExpr:add,12
RecordAccess/ArrayAccess:add,13
Unary/RecordAccess:add,37
Binary/Cast:del,10
CondExpr/RecordAccess:mv,1
Assignment/Ident:del,23
FunCall/Ident:add,32
Assignment/RecordAccess:del,24
MacroIteration/Compound:mv,41
Binary/ArrayAccess:mv,33
Binary/RecordPtAccess:add,46
While/Compound:del,3
Program/Declaration:add,1140
Left/Cast:add,20
If/For:mv,2
If/Binary:mv,960
Binary/Binary:add,3
Cast/ParenExpr:add,1
Left/ArrayAccess:add,1
Binary/FunCall:mv,221
Binary/RecordAccess:mv,81
For/ExprStatement:add,1
Label/GenericString:mv,16
DefineFunc/GenericString:del,21
ReturnExpr/Constant:mv,30
Left/ArrayAccess:del,1
Binary/RecordPtAccess:del,29
DeclList/GenericString:del,246
SizeOfExpr/ParenExpr:mv,6
ExprStatement/Some:mv,420
Left/Constant:del,105
ReturnExpr/ParenExpr:mv,4
Label/If:del,108
Unary/ArrayAccess:mv,78
Definition/GenericString:upd,76
InitExpr/Cast:add,8
Left/FunCall:add,237
Sequence/FunCall:mv,1
Compound/Break:add,17
FunCall/Ident:mv,738
Assignment/ArrayAccess:del,4
Unary/FunCall:add,19
Declaration/DeclList:del,5
ArrayAccess/FunCall:add,1
InitList/InitDesignators:del,178
Binary/Ident:add,144
If/Return:add,25
If/Unary:del,72
Assignment/ArrayAccess:add,13
While/Binary:mv,8
InitExpr/ParenExpr:del,21
Assignment/FunCall:del,106
Assignment/RecordAccess:add,8
Compound/If:mv,1166
Define/DefineVar:del,2
Compound/Continue:add,1
Some/Assignment:add,1869
Compound/Goto:add,547
Binary/SizeOfType:mv,44
DefineExpr/Ident:add,1
If/IfToken:mv,306
If/Goto:mv,4
Program/Definition:mv,36
If/RecordAccess:add,2
If/Break:del,15
ReturnExpr/ArrayAccess:mv,1
SizeOfExpr/ParenExpr:add,1
Binary/Constant:del,65
Compound/For:mv,35
RecordAccess/RecordPtAccess:del,12
Left/SizeOfExpr:del,17
Program/CppTop:del,215
Label/GenericString:add,4
Case/ExprStatement:add,39
ArrayAccess/Constant:upd,20
If/Binary:add,56
Case/ExprStatement:del,41
InitExpr/Binary:add,4
InitDesignators/DesignatorField:mv,2
Left/SizeOfExpr:mv,39
Assignment/SizeOfType:add,1
Assignment/Binary:del,366
ArrayAccess/RecordAccess:mv,13
Compound/Return:add,8
ParenExpr/Binary:del,23
Program/IfdefTop:mv,292
For/If:mv,5
Case/If:mv,5
Binary/Binary:mv,133
Some/FunCall:add,113
Assignment/Constant:add,108
CondExpr/RecordPtAccess:del,3
Assignment/Unary:add,18
ReturnExpr/Unary:del,43
Assignment/CondExpr:del,8
Compound/MacroDecl:add,1
Case/Case:mv,8
RecordAccess/RecordAccess:mv,9
Assignment/Constant:upd,2
