688bb4158f64f3af0fe1d13e7642f8c4c402453e:0,"{'ParenExpr/Ident:del': 1, 'ParenExpr/Unary:add': 1, 'Ident/GenericString:mv': 2}"
d5251aea1539ec89dd567e75169c568b5243b6fa:1,"{'Left/Constant:upd': 2, 'GenericList/Left:del': 2}"
d5251aea1539ec89dd567e75169c568b5243b6fa:0,"{'Left/Constant:upd': 2, 'GenericList/Left:del': 2}"
57b54ea6b7863ccfeb41851b5f58f9fd1b83c79e:0,"{'Ident/GenericString:upd': 2, 'Binary/Binary:mv': 1, 'Compound/DeclList:add': 1, 'ParenExpr/Binary:add': 1, 'ParameterType/GenericString:upd': 2, 'ParenExpr/Binary:mv': 1}"
57b54ea6b7863ccfeb41851b5f58f9fd1b83c79e:1,"{'Binary/Binary:mv': 1, 'ParenExpr/Binary:mv': 1, 'ParenExpr/Binary:add': 1}"
7d148ef51a657fd04036c3ed7803da600dd0d451:0,"{'Binary/Constant:del': 3, 'Binary/FunCall:add': 1, 'Compound/DeclList:add': 1, 'Program/Definition:add': 1, 'Binary/Ident:add': 2}"
023eb571a1d0eae738326042dcffa974257eb8c8:0,"{'DeclList/GenericString:add': 2, 'Compound/DeclList:add': 2, 'Compound/For:add': 2}"
6a0bdffa0073857870a4ed1b4489762146359eb4:1,{'Compound/ExprStatement:add': 1}
ae76dd9a6b5bbe5315fb7028e03f68f75b8538f3:2,"{'Program/Declaration:add': 1, 'Program/IfdefTop:mv': 2}"
ae76dd9a6b5bbe5315fb7028e03f68f75b8538f3:1,"{'Compound/ExprStatement:add': 1, 'Compound/If:add': 1}"
6a0bdffa0073857870a4ed1b4489762146359eb4:2,"{'Compound/If:add': 1, 'ReturnExpr/Constant:mv': 2, 'Compound/ReturnExpr:add': 1, 'Compound/ReturnExpr:del': 1}"
be6a6f8ec707f2e446e445ad4b8cc93cc85d5d54:0,"{'If/ExprStatement:mv': 1, 'Compound/ExprStatement:mv': 1, 'Compound/ExprStatement:add': 1, 'Compound/If:del': 1}"
