,revertingDate,revertingCommit,revertedCommit,revertedDate,timeLag,type
1119,1433914254,ebb9bf18636926d5da97136c22e882c5d91fda73,7fe04d6fa824ccea704535a597dc417c8687f990,1429459260,52,HMG
1120,1433914154,6fb3c025fee16f11ebd73f84f5aba1ee9ce7f8c6,a10f0df0615abb194968fc08147f3cdd70fd5aa5,1432677665,15,HMG
1151,1432590749,4373f0f24ed52549d4d6a0d7e155301476ec0a36,8c740dcea254a1472df2c0ac5ac585412a2507ec,1413582123,220,HMG
1221,1429051527,b9ea25152e56365ce149b9a39637cd7a16eec556,3a6927906f1b2adf5a31b789322d32eb8559ada0,1198101913,2673,HMG
1232,1428505495,d10b730f97a7f1fa58c9ec300828f87157cd6b95,d63e2e1f3df904bf6bd150bdafb42ddbb3257ea8,1421360511,83,HMG
1252,1427740433,e23779451ee05e824fedbb68bd17fc5c77e40166,6ab59945f292a5c6cbc4a6c2011f1a732a116af2,1406669023,244,HMG
1269,1422882085,3d9a1f530e508ff6fc9ab8220016b02f1bce255b,39b7f1e25a412b0ef31e516cfc2fa4f40235f263,1131133481,3377,HMG
1277,1426522636,09d042a2eb90ee2c86d80c48ad096ae3f5776cef,6ab17a8484f03c188a93713369912f1545eb26e9,1423006429,41,HMG
1332,1423672505,37d11391c2de8a846da50a2972a82289e65e5ea6,f252cb09e1cb46834014aaa3814fbfb2352e9071,1423184290,5,HMG
1333,1423672403,e06bf91b59d3d95359e046ffcdc577145933da10,f252cb09e1cb46834014aaa3814fbfb2352e9071,1423184290,5,HMG
1357,1422276202,a50940510e94f5fb65ffd79877a60592d85598a9,a63b03e2d2477586440741677ecac45bcf28d7b1,1420540175,20,HMG
1361,1421400874,dc9fb09cae5b1355c1a9d8102e40b97b34332f31,aa0b3b5bb8768c1a6a6788869d9c7015eae7e80c,1396374907,290,HMG
1362,1421668250,af5a75a37501b30a8230ee9493d9184e896a2faa,e85a5c7989c5be8fe30acc35eba9fb54b3450f36,1421072071,7,HMG
1486,1414553623,df9ff91801da603079018f21a9412385b62f0f8e,558e4736f2e1b0e6323adf7a5e4df77ed6cfc1a4,1408603286,69,HMG
1506,1413214506,1db7802418596880b51d78408f10f25e6fbd8656,186b1b2ba2a0684e3d2d3703427a993a3b35b16d,1411479457,20,HMG
1666,1405592716,4fa7734c62cdd8c07edd54fa5a5e91482273071a,26a865f4aa8e66a6d94958de7656f7f1b03c6c56,1388775651,195,HMG
1676,1405299879,c6930992948adf0f8fc1f6ff1da51c5002a2cf95,38aecea0ccbb909d635619cba22f1891e589b434,1393841890,133,HMG
1681,1404938153,6b89cddee051945a83cc67436ad1680ba7d9f766,773875bfb6737982903c42d1ee88cf60af80089c,1390813230,163,HMG
1687,1404872856,41959341ac7e33dd360c7a881d13566f9eca37b2,c745fe611ca42295c9d91d8e305d27983e9132ef,1386629219,212,HMG
1722,1403209086,22b5371412f91ea0e1bf5e1c1dd527eb3eed6dc2,cc0be81f00472d782804293766ddd9d1c2b4ebd1,1401872874,15,H
1825,1397752399,12de375ec493ab1767d4a07dde823e63ae5edc21,f4f653e9875e573860e783fecbebde284a8626f5,1396352220,16,HMG
1841,1396286829,f3b0cbce01cd5c242b420d986b208d306bdc5083,117309c51dca42121f70cacec801511b76acf75c,1390922277,62,HMG
1854,1396503023,057f6a8ad7691d028681ba443d7f5e482a6a80a4,f05bb0c7b624252a5e768287e340e8e45df96e42,1358699612,438,HMG
1860,1395860900,e568af1c626031925465a5caaab7cca1303d55c7,828c79087cec61eaf4c76bb32c222fbe35ac3930,1381940490,161,HMG
1862,1395861009,8ee661b505613ef2747b350ca2871a31b3781bee,828c79087cec61eaf4c76bb32c222fbe35ac3930,1381940490,161,HMG
1884,1395062459,825938307f812c7cbfe064c7884bd8bdb27c2144,dff392dbd258381a6c3164f38420593f2d291e3b,1386358361,101,HMG
1887,1395067416,24f3e092b8e2939365e2105c2eed3e3db2813aa6,b3064154dfd37deb386b1e459c54e1ca2460b3d5,1393890164,14,HMG
1888,1394233520,849e39f5d7e52eb44d37bbd5ce695f7cdcbe923c,b3064154dfd37deb386b1e459c54e1ca2460b3d5,1393890164,4,HMG
1914,1393841890,38aecea0ccbb909d635619cba22f1891e589b434,2514bc510d0c3aadcc5204056bb440fa36845147,1340316830,620,HMG
1916,1392417283,1af8452f1644acdef85a587c5e8264807f9b83a8,e4e0c058a19c41150d12ad2d3023b3cf09c5de67,1328734430,737,HMG
1939,1392731715,a6940190ac15c361862a1a8f50a2072db7184749,2d4054d8422462cb2771fdb4eb1925df55d2b320,1387469352,61,HMG
1958,1392221363,2078600b1f8fc68b02f6ebdda1759fb0c9f51afb,d3c56568f43807135f2c2a09582a69f809f0d8b7,1391417773,9,HMG
1992,1389627034,0f540c3a7cfb91c9d7a19eb0c95c24c5de1197d5,ee1452d7458451a7508e0663553ce88d63958157,1379678730,115,HMG
2048,1388260839,be505f643925e257087247b996cd8ece787c12af,ee1452d7458451a7508e0663553ce88d63958157,1379678730,99,HMG
